Logger:         	MadelineProto
Serialization:  	Telegram does not support starting multiple instances of the same session, make sure no other instance of the session is running.
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
Serialization:  	Still waiting for exclusive session lock...
API:            	!!! Could not connect to MadelineProto, please check and report the logs for more details. !!!
Exception:      	Could not connect to MadelineProto, please check the MadelineProto.log file to debug! in API.php:314
entry:          	\danog\MadelineProto\Exception: Could not connect to MadelineProto, please check the MadelineProto.log file to debug! in /mnt/e/src/talkback/vendor/danog/madelineproto/src/danog/MadelineProto/API.php:314

TL Trace:

initAsynchronously()

Previous TL trace:

API.php(318):       	connectToMadelineProto()
API.php(197):       	connectToMadelineProto()
internalInitAPI()
Coroutine.php(112): 	send()
Placeholder.php(149):	danog\MadelineProto\{closure}()
Deferred.php(53):   	resolve()
Tools.php(429):     	resolve()
NativeDriver.php(142):	danog\MadelineProto\{closure}()
Driver.php(138):    	dispatch()
Driver.php(72):     	tick()
Loop.php(95):       	run()
Tools.php(294):     	run()
AsyncConstruct.php(48):	wait()
entry.php(105):     	init()
entry.php(134):     	{closure}()
entry:          	Got exception in IPC server, exiting...
entry:          	Reporting error!
SessionPaths:   	Waiting for exclusive lock of /mnt/e/src/talkback/session/talkback.session.ipcState.php.lock...
SessionPaths:   	Got exclusive lock of /mnt/e/src/talkback/session/talkback.session.ipcState.php.lock...
entry:          	Reported error!
